Method,MAE (days),RMSE (days),Success_Rate,Valid_Predictions,Total_Attempts
Ridge Regression,15.666666666666666,17.86057109949175,0.3333333333333333,3,9
Linear Regression,23.0,28.600699292150182,0.1111111111111111,2,9
Exponential Smoothing,27.11111111111111,31.361689296904203,0.6666666666666666,9,9
Median Interval,28.88888888888889,32.859972272930754,0.5555555555555556,9,9
Mean Interval,32.0,35.839146815241634,0.4444444444444444,9,9
Weighted Interval,32.666666666666664,37.22902093797257,0.5555555555555556,9,9
Statistical Ensemble,33.666666666666664,40.206411871187356,0.5555555555555556,9,9
Adaptive Interval,35.111111111111114,39.65686153324121,0.3333333333333333,9,9
Trend Analysis,36.111111111111114,42.963809059357025,0.5555555555555556,9,9
Recent 3 Mean,37.77777777777778,41.44072071445348,0.3333333333333333,9,9
Seasonal Decompose,39.888888888888886,45.62041453365173,0.3333333333333333,9,9
Seasonal Pattern,42.666666666666664,48.474506472761306,0.3333333333333333,9,9
ARIMA,45.111111111111114,60.31399321697891,0.5555555555555556,9,9
Lasso Regression,49.857142857142854,58.73305226677248,0.2222222222222222,7,9
